als_val  , ps_val, tempbuf, mag[x] , mag[y] , mag[z] , pressbuf, presstempbuf, acc[x] , acc[y] , acc[z] , (RED)  , (GREEN), (BLUE) , (IR)   ,(GREEN2)
5.0,61,24.8,2.1,-45.5,-78.3,1021.008,21.4,-0.0,0.0,1.0,7,24,3,3,25
5.0,61,26.0,2.3,-45.8,-78.1,1021.008,21.4,-0.0,-0.0,1.1,7,24,3,3,25
5.0,61,26.0,1.8,-46.2,-78.2,1021.008,21.4,-0.0,0.0,1.1,7,24,3,3,25
5.0,69,26.0,1.6,-46.3,-78.3,1021.008,21.4,-0.0,0.0,1.0,7,25,4,3,25
5.0,69,25.4,1.8,-46.0,-78.3,1021.057,21.4,-0.0,0.1,1.0,7,25,4,4,25
5.0,69,26.0,1.5,-45.7,-78.4,1021.057,21.4,-0.0,0.1,1.0,7,25,4,4,25
5.0,69,26.0,2.1,-44.3,-79.1,1021.057,21.4,-0.0,0.1,1.0,6,24,3,4,25
5.0,69,26.6,2.0,-43.6,-79.4,1021.057,21.4,-0.0,0.0,1.0,6,24,3,4,25
5.0,69,26.6,2.0,-43.9,-79.3,1021.057,21.4,-0.0,-0.0,1.1,6,24,3,2,24
5.0,64,26.0,1.2,-44.9,-79.1,1021.057,21.4,-0.0,-0.0,1.1,6,24,3,2,24
5.0,64,26.0,1.1,-45.5,-78.6,1021.057,21.4,-0.0,-0.0,1.0,7,24,3,2,24
5.0,67,26.0,1.7,-46.1,-78.3,1021.037,21.4,-0.0,0.0,1.0,7,24,3,2,25
5.0,67,26.0,1.4,-46.2,-78.3,1021.037,21.4,-0.0,0.1,1.0,7,24,3,2,25
5.0,67,26.6,1.6,-45.5,-78.5,1021.037,21.4,-0.0,0.0,1.0,7,24,3,2,25
5.0,70,25.4,1.8,-45.1,-78.8,1021.037,21.4,-0.0,0.0,1.0,7,25,3,2,25
5.0,70,26.0,1.8,-44.4,-79.0,1021.037,21.4,-0.0,0.0,1.0,7,25,3,4,24
5.0,70,26.0,1.9,-44.5,-78.8,1021.037,21.4,-0.0,0.0,1.0,7,25,3,4,24
5.0,70,26.6,1.5,-46.2,-78.4,1021.020,21.4,-0.0,0.0,1.0,7,24,3,4,24
5.0,70,26.6,1.5,-46.7,-77.8,1021.020,21.4,-0.0,0.0,1.0,7,24,3,4,24
5.0,70,25.4,1.5,-46.6,-77.9,1021.020,21.4,-0.0,0.1,1.0,7,24,3,2,25
5.0,70,26.0,1.7,-44.8,-78.9,1021.020,21.4,0.0,0.0,1.0,7,24,3,2,25
5.0,70,26.0,1.7,-43.5,-79.5,1021.020,21.4,-0.0,0.0,1.0,7,24,3,2,25
5.0,70,26.0,1.4,-43.4,-79.6,1021.020,21.4,-0.0,0.0,1.1,7,24,3,2,24
5.0,69,26.0,1.0,-44.3,-79.5,1021.020,21.4,-0.0,-0.0,1.1,7,24,3,2,24
5.0,69,26.0,1.1,-45.6,-78.7,1021.009,21.4,-0.0,0.0,1.0,7,24,3,2,24
5.0,69,26.0,1.0,-46.2,-78.5,1021.009,21.4,-0.0,0.0,1.0,6,24,3,2,24
